Department,Category,Jan,Feb,Mar,Apr,May,Jun
Sales,Salaries,120000,120000,120000,125000,125000,125000
Sales,Commissions,28000,31000,38000,33000,42000,39000
Sales,Travel,6500,9200,7800,11000,8500,7200
Marketing,Advertising,45000,48000,67000,52000,71000,58000
Marketing,Events,15000,0,0,28000,0,0
Marketing,Salaries,80000,80000,88000,80000,80000,80000
Engineering,Salaries,200000,200000,200000,200000,208000,200000
Engineering,Cloud Infrastructure,25000,27000,31000,35000,33000,40000
Engineering,Software Licenses,10000,10000,10000,12000,10000,14000
G&A,Salaries,60000,60000,60000,60000,60000,60000
G&A,Legal & Compliance,5000,5000,12000,5000,5000,5000
G&A,Office & Admin,8000,8000,8000,8000,8000,8000
