Department,Category,Jan,Feb,Mar,Apr,May,Jun
Sales,Salaries,120000,120000,120000,125000,125000,125000
Sales,Commissions,33000,34000,40000,42000,46000,47000
Sales,Travel,6500,5800,7000,6200,5500,6000
Marketing,Advertising,46000,49000,58000,61000,72000,80000
Marketing,Events,15000,0,0,28000,0,0
Marketing,Salaries,80000,80000,84000,80000,80000,80000
Engineering,Salaries,200000,200000,200000,200000,200000,208000
Engineering,Cloud Infrastructure,26000,28000,31000,36000,40000,46000
Engineering,Software Licenses,10000,10000,11000,12000,13000,14000
G&A,Salaries,60000,60000,60000,60000,60000,60000
G&A,Legal & Compliance,5000,5000,18000,5000,5000,6000
G&A,Office & Admin,7000,6500,7000,6800,6500,7000
